name,lat,lon,demand,start_time,end_time
National Freight Point 484,26.8048,76.0011,3,8.0,16.0
National Freight Point 485,29.2831,77.9692,5,8.0,16.0
National Freight Point 486,13.8598,73.0072,5,8.0,14.0
National Freight Point 487,19.3821,75.403,3,9.0,17.0
National Freight Point 488,18.7826,82.9169,3,10.0,18.0
National Freight Point 489,14.9357,83.8804,3,8.0,14.0
National Freight Point 490,28.5896,84.3142,2,10.0,16.0
National Freight Point 491,13.2036,80.7784,1,8.0,16.0
National Freight Point 492,16.2153,83.4959,5,9.0,15.0
National Freight Point 493,21.6883,74.5167,5,8.0,16.0
National Freight Point 494,30.1688,78.3556,4,8.0,14.0
National Freight Point 495,12.817,74.6199,4,10.0,16.0
National Freight Point 496,26.6129,77.3594,2,8.0,14.0
National Freight Point 497,17.8545,79.5669,4,9.0,17.0
National Freight Point 498,22.9047,83.7921,5,8.0,16.0
National Freight Point 499,14.0365,75.8379,1,10.0,18.0
